0.06154957,0.13762566,0.21094392,0.18464000,0.10616125,0.06794835,0.06316901,0.06213181,0.05395286,0.03260784
0.07548214,0.11742906,0.19131663,0.19900598,0.14250995,0.09825926,0.08073016,0.07270630,0.05965458,0.04861563
0.05472757,0.08753669,0.15751732,0.20548597,0.20116614,0.17245153,0.14055336,0.11779229,0.09188617,0.07663045
0.05058462,0.06905517,0.11202100,0.15731956,0.19092362,0.20550390,0.20165446,0.18778633,0.16219297,0.14926786
0.06276722,0.07105174,0.08812367,0.10748572,0.12676068,0.14731568,0.17067363,0.18823898,0.18541463,0.18467708
0.07686861,0.08095128,0.08671577,0.08938266,0.09069941,0.09194011,0.10315781,0.12116000,0.12730776,0.12941129
0.08059161,0.08449743,0.08910285,0.08877494,0.08607878,0.08301589,0.08360614,0.08633881,0.08175060,0.07640638
0.07863124,0.08370852,0.09031790,0.09251378,0.08975786,0.08897643,0.09097643,0.08661968,0.07111895,0.05872077
0.07256496,0.07970511,0.08745265,0.09322420,0.08822355,0.08270949,0.08700870,0.08448145,0.06674806,0.05376003
0.07554030,0.07703308,0.08606154,0.09382026,0.08804136,0.07590282,0.07909417,0.08103826,0.06537164,0.03780072
